,Assignee Location,Assignee Name,Fields,Patent Number,Title (Patent Number),fetched,Year,CPC Category
45,"Des Plaines, IL",UOP INC.,B,"4,426,232",#4426232,True,1984,"Performing Operations, Transporting"
46,"Dortmund, DE",UHDE GMBH,C,"4,426,270",#4426270,True,1984,"Chemistry, Metallurgy"
47,"Greenville, SC",CRUCIBLE CHEMICAL COMPANY,D,"4,426,297",#4426297,True,1984,"Textiles, Paper"
48,"Kalamazoo, MI",THE UPJOHN COMPANY,C,"4,426,335",#4426335,True,1984,"Chemistry, Metallurgy"
49,"Saint Paul, MN","ECONOMICS LABORATORY, INC.",A,"4,426,362",#4426362,True,1984,Human Necessities
51,"St. Paul, MN",MINNESOTA MINING AND MANUFACTURING COMPANY,C,"4,426,476",#4426476,True,1984,"Chemistry, Metallurgy"
52,"Leverkusen, DE",BAYER AKTIENGESELLSCHAFT,C,"4,426,499",#4426499,True,1984,"Chemistry, Metallurgy"
53,"Kawasaki, JP",FUJITSU LIMITED,H,"4,426,595",#4426595,True,1984,Electricity
54,"Tokyo, JP",FUJITSU FANUC LIMITED,H,"4,426,610",#4426610,True,1984,Electricity
55,"Jerusalem, IL",YISSUM RESEARCH DEVELOPMENT CO. OF THE HEBREW UNIVERSITY OF JERUSALEM,G,"4,426,719",#4426719,True,1984,Physics
56,"South Windsor, CT","GERBER GARMENT TECHNOLOGY, INC.",G,"4,426,783",#4426783,True,1984,Physics
57,"Saverne, FR",KUHN S.A.,A,"4,426,828",#4426828,True,1984,Human Necessities
58,"Santa Monica, CA","LEAR SIEGLER, INC.",B,"4,426,893",#4426893,True,1984,"Performing Operations, Transporting"
59,"Stamford, CT",THE SINGER COMPANY,D,"4,426,943",#4426943,True,1984,"Textiles, Paper"
61,"Cologne, DE",KLOCKNER-HUMBOLDT-DEUTZ AKTIENGESELLSCHAFT,F,"4,426,963",#4426963,True,1984,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
64,"Toronto, CA",ERWEL INC.,F,"4,427,149",#4427149,True,1984,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
65,"Vaster.ang.s, SE",ANDERSSON; BENGT VALFRID,B,"4,427,181",#4427181,True,1984,"Performing Operations, Transporting"
66,"Kawasaki, JP",TOKICO LTD.,F,"4,427,188",#4427188,True,1984,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
67,"Horsham, PA",DECISION DATA COMPUTER CORPORATION,F,"4,427,243",#4427243,True,1984,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
69,"Cleveland, OH",THE STANDARD OIL COMPANY,B,"4,427,419",#4427419,True,1984,"Performing Operations, Transporting"
70,"Addison, IL","CAMTRON SYSTEMS, INC.",B,"4,427,484",#4427484,True,1984,"Performing Operations, Transporting"
71,"El Segundo, CA",ROCKWELL INTERNATIONAL CORPORATION,B,"4,427,497",#4427497,True,1984,"Performing Operations, Transporting"
72,"Newbury, OH","KINETICO, INC.",B,"4,427,549",#4427549,True,1984,"Performing Operations, Transporting"
73,Patents Limited,COAL INDUSTRY,B,"4,427,578",#4427578,True,1984,"Performing Operations, Transporting"
74,"Tokyo, JP",AJINOMOTO COMPANY INCORPORATED,C,"4,427,773",#4427773,True,1984,"Chemistry, Metallurgy"
75,"Midland, MI",THE DOW CHEMICAL COMPANY,C,"4,427,837",#4427837,True,1984,"Chemistry, Metallurgy"
76,"Chicago, IL",S&C ELECTRIC COMPANY,H,"4,427,862",#4427862,True,1984,Electricity
78,"Richmond, IN","HOFFCO, INC.",A,"4,428,184",#4428184,True,1984,Human Necessities
79,"Des Plaines, IL",UOP INC.,B,"4,428,202",#4428202,True,1984,"Performing Operations, Transporting"
80,"Bremen, DE",BREMER VULKAN SCHIFFBAU AND MASCHINENFABRICK,B,"4,428,318",#4428318,True,1984,"Performing Operations, Transporting"
81,"Osaka, JP","MATSUSHITA ELECTRIC INDUSTRIAL CO., LTD.",H,"4,428,406",#4428406,True,1984,Electricity
83,GB2,"BRITISH REMA MANUFACTURING CO., LIMITED",B,"4,428,536",#4428536,True,1984,"Performing Operations, Transporting"
84,"Skokie, IL",BRUNSWICK CORPORATION,A,"4,428,544",#4428544,True,1984,Human Necessities
85,"Los Gatos, CA","ATLAS ELECTRONICS INTERNATIONAL, INC.",A,"4,428,579",#4428579,True,1984,Human Necessities
86,"Baar, CH",TMC CORPORATION,A,"4,428,597",#4428597,True,1984,Human Necessities
88,DE,BASF AKTIENGESELLSCHAFT,C,"4,428,766",#4428766,True,1984,"Chemistry, Metallurgy"
89,"Osaka, JP","MATSUSHITA ELECTRIC WORKS, LTD.",E,"4,428,792",#4428792,True,1984,Fixed Construction
90,"Yuba City, CA",HEPFNER; ANTON,B,"4,428,830",#4428830,True,1984,"Performing Operations, Transporting"
91,"Cleveland, OH",THE SHERWIN-WILLIAMS COMPANY,C,"4,428,844",#4428844,True,1984,"Chemistry, Metallurgy"
92,"Tokyo, JP","THE NISSHIN OIL MILLS, LTD.",A,"4,428,885",#4428885,True,1984,Human Necessities
94,"Tokyo, JP","SUMITOMO HEAVY INDUSTRIES, LTD",C,"4,428,921",#4428921,True,1984,"Chemistry, Metallurgy"
95,"New York, NY",U.S. PHILIPS CORPORATION,C,"4,429,052",#4429052,True,1984,"Chemistry, Metallurgy"
97,"San Francisco, CA",CHEVRON RESEARCH COMPANY,C,"4,429,119",#4429119,True,1984,"Chemistry, Metallurgy"
98,"Northlake, IL",GTE AUTOMATIC ELECTRIC INC.,H,"4,429,186",#4429186,True,1984,Electricity
99,"North Wales, PA",LEEDS & NORTHRUP COMPANY,G,"4,429,343",#4429343,True,1984,Physics
100,"Washington, DC",THE UNITED STATES OF AMERICA AS REPRESENTED BY THE UNITED STATES,G,"4,429,411",#4429411,True,1984,Physics
101,"Buffalo, NY",TRICO PRODUCTS CORPORATION,B,"4,429,431",#4429431,True,1984,"Performing Operations, Transporting"
103,"Warwick, RI","ADECON, INC.",A,"4,429,557",#4429557,True,1984,Human Necessities
104,"Denton, TX",VICTOR EQUIPMENT COMPANY,F,"4,429,585",#4429585,True,1984,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
105,"St. Louis, MO",EMERSON ELECTRIC CO.,F,"4,429,595",#4429595,True,1984,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
106,"Tokyo, JP","TOKYO ELECTRIC CO., LTD.",A,"4,429,626",#4429626,True,1984,Human Necessities
107,"Tokyo, JP","KONISHIROKU PHOTO INDUSTRY CO., LTD.",G,"4,429,986",#4429986,True,1984,Physics
108,"London, GB2",THE SECRETARY OF STATE FOR DEFENCE IN HER BRITANNIC MAJESTY'S GOVERNMENT,C,"4,430,132",#4430132,True,1984,"Chemistry, Metallurgy"
110,"Yokohama, JP",INOUE-JAPAX RESEARCH INCORPORATED,C,"4,430,165",#4430165,True,1984,"Chemistry, Metallurgy"
111,"San Francisco, CA",CHEVRON RESEARCH COMPANY,C,"4,430,203",#4430203,True,1984,"Chemistry, Metallurgy"
112,"Bartlesville, OK",PHILLIPS PETROLEUM COMPANY,B,"4,430,207",#4430207,True,1984,"Performing Operations, Transporting"
113,"Osaka, JP",NIPPON CHEMTEC CONSULTING INC.,B,"4,430,230",#4430230,True,1984,"Performing Operations, Transporting"
114,"Florham Park, NJ",EXXON RESEARCH & ENGINEERING CO.,B,"4,430,252",#4430252,True,1984,"Performing Operations, Transporting"
115,"Kokomo, IN",CABOT CORPORATION,C,"4,430,297",#4430297,True,1984,"Chemistry, Metallurgy"
116,"London, GB2",NATIONAL RESEARCH DEVELOPMENT CORPORATION,C,"4,430,345",#4430345,True,1984,"Chemistry, Metallurgy"
117,"Costa Mesa, CA",DISCOVISION ASSOCIATES,G,"4,430,401",#4430401,True,1984,Physics
118,"Dallas, TX","DRESSER INDUSTRIES, INC.",C,"4,430,439",#4430439,True,1984,"Chemistry, Metallurgy"
119,"Eden, NC","FIELDCREST MILLS, INC.",H,"4,430,560",#4430560,True,1984,Electricity
120,"Uster, CH",ZELLWEGER USTER AG,B,"4,430,720",#4430720,True,1984,"Performing Operations, Transporting"
121,"Schaumburg, IL","MOTOROLA, INC.",H,"4,430,742",#4430742,True,1984,Electricity
122,"New York, NY",MAGNAVOX CONSUMER ELECTRONICS COMPANY,H,"4,430,747",#4430747,True,1984,Electricity
123,"Highland Park, MI",CHRYSLER CORPORATION,F,"4,430,980",#4430980,True,1984,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
124,"Wheat Ridge, CO",HIERATH & ANDREWS CORP.,G,"4,431,070",#4431070,True,1984,Physics
125,"Farmington, CT",USM CORPORATION,B,"4,431,105",#4431105,True,1984,"Performing Operations, Transporting"
127,"San Carlos, CA","LARES MFG. CO., INC.",A,"4,431,412",#4431412,True,1984,Human Necessities
128,"South Plainfield, NJ","VANGUARD RESEARCH ASSOCIATES, INC.",C,"4,431,500",#4431500,True,1984,"Chemistry, Metallurgy"
130,"Brea, CA",UNION OIL COMPANY OF CALIFORNIA,B,"4,431,526",#4431526,True,1984,"Performing Operations, Transporting"
131,"New York, NY",PFIZER INC.,C,"4,431,646",#4431646,True,1984,"Chemistry, Metallurgy"
132,"Parsippany, NJ","NABISCO BRANDS, INC.",C,"4,431,733",#4431733,True,1984,"Chemistry, Metallurgy"
133,"Palermo, IT","ANIC, S.P.A.",C,"4,431,737",#4431737,True,1984,"Chemistry, Metallurgy"
134,"Mt. Vernon, IN",GENERAL ELECTRIC COMPANY,C,"4,431,793",#4431793,True,1984,"Chemistry, Metallurgy"
135,"Mannheim-Waldhof, DE",BOEHRINGER MANNHEIM GMBH,C,"4,431,829",#4431829,True,1984,"Chemistry, Metallurgy"
138,"Washington, DC",THE UNITED STATES OF AMERICA AS REPRESENTED BY THE SECRETARY OF THE ARMY,F,"4,432,202",#4432202,True,1984,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
140,"Neenah, WI",MENASHA CORPORATION,B,"4,432,467",#4432467,True,1984,"Performing Operations, Transporting"
141,"Midland, MI",THE DOW CHEMICAL COMPANY,B,"4,432,651",#4432651,True,1984,"Performing Operations, Transporting"
143,"Washington, DC",THE UNITED STATES OF AMERICA AS REPRESENTED BY THE SECRETARY OF THE AIR,C,"4,432,815",#4432815,True,1984,"Chemistry, Metallurgy"
144,"Victoria, AU",DULUX AUSTRALIA LTD.,C,"4,432,837",#4432837,True,1984,"Chemistry, Metallurgy"
145,"Tokyo, JP","HITACHI KOKI COMPANY, LIMITED",B,"4,432,849",#4432849,True,1984,"Performing Operations, Transporting"
146,"New York, NY","ITT INDUSTRIES, INC.",C,"4,433,012",#4433012,True,1984,"Chemistry, Metallurgy"
147,"Midland, MI",DOW CORNING CORPORATION,C,"4,433,069",#4433069,True,1984,"Chemistry, Metallurgy"
148,"Tokyo, JP",MITSUBISHI GAS CHEMICAL COMPANY INC.,C,"4,433,136",#4433136,True,1984,"Chemistry, Metallurgy"
149,"Schaumburg, IL","MOTOROLA, INC.",H,"4,433,302",#4433302,True,1984,Electricity
150,"Leverkusen, DE",THEODOR WUPPERMANN GMBH,B,"4,433,565",#4433565,True,1984,"Performing Operations, Transporting"
151,"Chicago, IL",BORG-WARNER CORPORATION,F,"4,433,594",#4433594,True,1984,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
152,"Ulm, DE",ULRICH; MAX BERNHARD,A,"4,433,677",#4433677,True,1984,Human Necessities
153,"Seattle, WA",TASA PRODUCTS LIMITED,G,"4,433,719",#4433719,True,1984,Physics
155,"Rochester, NY",LATONE; SALVATORE,B,"4,433,837",#4433837,True,1984,"Performing Operations, Transporting"
156,JP,TOKYO SHIBAURA DENKI KABUSHIKI KAISHA,G,"4,433,911",#4433911,True,1984,Physics
157,"Santa Monica, CA",VIVITAR CORPORATION,G,"4,433,914",#4433914,True,1984,Physics
158,"White Plains, NY",TEXACO INC.,C,"4,433,977",#4433977,True,1984,"Chemistry, Metallurgy"
159,"Uzwil, CH",GEBRUEDER BUEHLER AG,B,"4,433,986",#4433986,True,1984,"Performing Operations, Transporting"
160,"Florham Park, NJ",EXXON RESEARCH AND ENGINEERING CO.,C,"4,434,043",#4434043,True,1984,"Chemistry, Metallurgy"
161,"New York, NY","NL INDUSTRIES, INC.",C,"4,434,076",#4434076,True,1984,"Chemistry, Metallurgy"
162,"Palo Alto, CA",COLLAGEN CORPORATION,A,"4,434,094",#4434094,True,1984,Human Necessities
163,"Philadelphia, PA",PENNWALT CORPORATION,H,"4,434,114",#4434114,True,1984,Electricity
164,"Pittsburgh, PA",WESTINGHOUSE ELECTRIC CORP.,G,"4,434,132",#4434132,True,1984,Physics
166,"Seattle, WA",ELECTROCHEMICAL TECHNOLOGY CORP.,B,"4,434,249",#4434249,True,1984,"Performing Operations, Transporting"
167,"Wilmington, DE",E. I. DU PONT DE NEMOURS AND COMPANY,C,"4,434,273",#4434273,True,1984,"Chemistry, Metallurgy"
168,"New York, NY",CELANESE CORPORATION,C,"4,434,278",#4434278,True,1984,"Chemistry, Metallurgy"
169,"Somerville, NJ",AMERICAN HOECHST CORPORATION,C,"4,434,293",#4434293,True,1984,"Chemistry, Metallurgy"
170,"Santa Clara, CA",SERA SOLAR CORPORATION,H,"4,434,318",#4434318,True,1984,Electricity
172,"Ede, NL",INDUCTIVE CONTROL SYSTEMS B.V.,G,"4,434,412",#4434412,True,1984,Physics
173,"Amity, OR","WEISER DESIGNS, LTD.",A,"4,434,511",#4434511,True,1984,Human Necessities
174,"Karl-Marx-Stadt, DD",VEB KOMBINAT TEXTIMA,D,"4,434,566",#4434566,True,1984,"Textiles, Paper"
175,"Sagamihara, JP","AIDA ENGINEERING, LTD.",B,"4,434,646",#4434646,True,1984,"Performing Operations, Transporting"
177,"Arbon, CH",AKTIENGESELLSCHAFT ADOLF SAURER,D,"4,434,728",#4434728,True,1984,"Textiles, Paper"
178,"Milwaukee, WI",THE OILGEAR COMPANY,E,"4,434,811",#4434811,True,1984,Fixed Construction
179,"Dallas, TX","DRESSER INDUSTRIES, INC.",E,"4,434,860",#4434860,True,1984,Fixed Construction
182,"Richmond, VA",ETHYL PRODUCTS COMPANY,B,"4,434,915",#4434915,True,1984,"Performing Operations, Transporting"
183,"Lengerich, DE",WINDMOLLER & HOLSCHER,B,"4,434,948",#4434948,True,1984,"Performing Operations, Transporting"
184,"Bedford Park, IL",GITS BROTHERS MFG. CO.,F,"4,434,988",#4434988,True,1984,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
185,"Venlo, NL",OCE-NEDERLAND B.V.,G,"4,435,067",#4435067,True,1984,Physics
188,"Stockholm, SE",KEMANORD AB,C,"4,435,209",#4435209,True,1984,"Chemistry, Metallurgy"
189,"Paris, FR",SOCIETE ANONYME DE TELECOMMUNICATIONS,C,"4,435,224",#4435224,True,1984,"Chemistry, Metallurgy"
191,"London, GB2",IMPERIAL CHEMICAL INDUSTRIES PLC,C,"4,435,405",#4435405,True,1984,"Chemistry, Metallurgy"
193,"Paris, FR",RHONE-POULENC INDUSTRIES,C,"4,435,601",#4435601,True,1984,"Chemistry, Metallurgy"
194,"Oberhausen, DE",RUHRCHEMIE AKTIENGESELLSCHAFT,C,"4,435,603",#4435603,True,1984,"Chemistry, Metallurgy"
195,"London, GB2",THE ELECTRICITY COUNCIL,H,"4,435,820",#4435820,True,1984,Electricity
196,PERFRISA,"PERFIL EN FRIO, S.A.",E,"4,435,935",#4435935,True,1984,Fixed Construction
197,"Barnesville, MN","AGRI-TECH LTD., INC.",B,"4,435,996",#4435996,True,1984,"Performing Operations, Transporting"
199,"Shizouka, JP",USUI KOKUSAI SANGYO KABUSHIKI KAISHA,F,"4,436,063",#4436063,True,1984,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
201,"Stamford, CT","THOMSON-CSF BROADCAST, INC.",A,"4,436,095",#4436095,True,1984,Human Necessities
202,"Orange, CA",BAKER INTERNATIONAL CORPORATION,E,"4,436,157",#4436157,True,1984,Fixed Construction
203,"Stuttgart, DE",SUDDEUTSCHE KUHLERFABRIK JULIUS FR. BEHR GMBH & CO. KG,B,"4,436,245",#4436245,True,1984,"Performing Operations, Transporting"
204,"Elgin, IL",CR INDUSTRIES,F,"4,436,315",#4436315,True,1984,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
205,"Birmingham, GB2",LUCAS INDUSTRIES PUBLIC LIMITED COMPANY,B,"4,436,348",#4436348,True,1984,"Performing Operations, Transporting"
206,"Osaka, JP",SHARP KABUSHIKI KAISHA,G,"4,436,380",#4436380,True,1984,Physics
207,"Tokyo, JP",ASAHI KOGAKU KOGYO KABUSHIKI KAISHA,G,"4,436,416",#4436416,True,1984,Physics
208,"Armonk, NY",INTERNATIONAL BUSINESS MACHINES CORPORATION,G,"4,436,420",#4436420,True,1984,Physics
209,"Cambridge, MA","ARTHUR D. LITTLE, INC.",F,"4,436,495",#4436495,True,1984,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
210,"Nishio, JP","NIPPON SOKEN, INC.",B,"4,436,538",#4436538,True,1984,"Performing Operations, Transporting"
212,"Tokyo, JP","HITACHI, LTD.",C,"4,436,654",#4436654,True,1984,"Chemistry, Metallurgy"
213,DE,BASF AKTIENGESELLSCHAFT,C,"4,436,702",#4436702,True,1984,"Chemistry, Metallurgy"
214,"New York, NY",LEVER BROTHERS COMPANY,A,"4,436,760",#4436760,True,1984,Human Necessities
215,"Bronx, NY","MONTEFIORE HOSPITAL AND MEDICAL CENTER, INC.",G,"4,436,825",#4436825,True,1984,Physics
216,"Kiev, SU",INSTITUT ELEKTROSVARKI IMENI E.O.PATONA AKADEMII NAUK UKRAINSKOI SSR,B,"4,436,974",#4436974,True,1984,"Performing Operations, Transporting"
217,"Newark, NJ",CORNELL-DUBILIER ELECTRIC CORPORATION,H,"4,437,043",#4437043,True,1984,Electricity
218,"Bethlehem, PA",BETHLEHEM STEEL CORPORATION,G,"4,437,054",#4437054,True,1984,Physics
219,"Stamford, CT",XEROX CORPORATION,G,"4,437,106",#4437106,True,1984,Physics
220,"Tokyo, JP",SONY CORPORATION,G,"4,437,125",#4437125,True,1984,Physics
221,"Novato, CA",HONECK; MANFRED FRED,H,"4,437,128",#4437128,True,1984,Electricity
222,"Frankfurt, DE",NICOL; KLAUS,G,"4,437,138",#4437138,True,1984,Physics
223,"Le Hoorn, NL",DELPHI DENTAL INDUSTRIES B.V.,A,"4,437,191",#4437191,True,1984,Human Necessities
224,"Vaster.ang.s, SE",GRANGES METALLVERKEN AKTIEBOLAG,B,"4,437,216",#4437216,True,1984,"Performing Operations, Transporting"
225,"Saffron Walden, GB2",S.I.A.C.O. LIMITED,B,"4,437,269",#4437269,True,1984,"Performing Operations, Transporting"
227,"Lynn, MA",GENERAL ELECTRIC COMPANY,F,"4,437,313",#4437313,True,1984,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
228,"Willoughby, OH",FIGGIE INTERNATIONAL INC.,A,"4,437,462",#4437462,True,1984,Human Necessities
229,"New York, NY",INTERNATIONAL PAPER COMPANY,B,"4,437,634",#4437634,True,1984,"Performing Operations, Transporting"
230,"Budapest, HU",CHEMOKOMPLEX VEGYIPARI GEPES BERENDEZES EXPORT-IMPORT VALLALAT,B,"4,437,824",#4437824,True,1984,"Performing Operations, Transporting"
232,"Washington, DC",THE UNITED STATES OF AMERICA AS REPRESENTED BY THE UNITED STATES,C,"4,437,956",#4437956,True,1984,"Chemistry, Metallurgy"
233,"Toronto, CA","SUNCOR, INC.",B,"4,437,998",#4437998,True,1984,"Performing Operations, Transporting"
234,"Manhattan, KS",KANSAS STATE UNIVERSITY RESEARCH FOUNDATION,B,"4,438,000",#4438000,True,1984,"Performing Operations, Transporting"
235,"Port Washington, WI",FREEMAN CHEMICAL CORPORATION,B,"4,438,072",#4438072,True,1984,"Performing Operations, Transporting"
236,"Paris, FR",SYNTHELABO,C,"4,438,121",#4438121,True,1984,"Chemistry, Metallurgy"
237,"Ardsley, NY",CIBA-GEIGY CORPORATION,A,"4,438,125",#4438125,True,1984,Human Necessities
238,"Osaka, JP",TEIJIN LIMITED,D,"4,438,151",#4438151,True,1984,"Textiles, Paper"
239,"Tokyo, JP","KONISHIROKU PHOTO INDUSTRY CO., LTD.",G,"4,438,193",#4438193,True,1984,Physics
240,"White Plains, NY",TEXACO INC.,B,"4,438,219",#4438219,True,1984,"Performing Operations, Transporting"
241,"Midland, MI",THE DOW CHEMICAL COMPANY,C,"4,438,242",#4438242,True,1984,"Chemistry, Metallurgy"
242,"Osaka, JP","SUMITOMO CHEMICAL COMPANY, LIMITED",C,"4,438,286",#4438286,True,1984,"Chemistry, Metallurgy"
243,JP,"RICOH COMPANY, LTD.",B,"4,438,440",#4438440,True,1984,"Performing Operations, Transporting"
244,"Murray Hill, NJ","BELL TELEPHONE LABORATORIES, INCORPORATED",H,"4,438,446",#4438446,True,1984,Electricity
245,"Tokyo, JP",SONY CORPORATION,G,"4,438,469",#4438469,True,1984,Physics
246,"Osaka, JP",SHARP KABUSHIKI KAISHA,G,"4,438,505",#4438505,True,1984,Physics
247,"Dubendorf, CH",AG FUR TURAUTOMATEN,E,"4,438,594",#4438594,True,1984,Fixed Construction
248,"Troyes, FR",BRODERIE DE MESNIL ST PERE S.A.R.L.,D,"4,438,712",#4438712,True,1984,"Textiles, Paper"
249,"Jackson, MI",AEROQUIP CORPORATION,F,"4,438,779",#4438779,True,1984,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
250,"Ventura, CA","VETCO OFFSHORE, INC.",B,"4,439,055",#4439055,True,1984,"Performing Operations, Transporting"
251,"Skokie, IL",AMERICAN COLLOID CO.,B,"4,439,062",#4439062,True,1984,"Performing Operations, Transporting"
253,"Ludwigshafen, DE",BASF AKTIENGESELLSCHAFT,C,"4,439,369",#4439369,True,1984,"Chemistry, Metallurgy"
254,"Stamford, CT",GTE PRODUCTS CORPORATION,C,"4,439,468",#4439468,True,1984,"Chemistry, Metallurgy"
255,"Kanagawa, JP","FUJI PHOTO FILM CO., LTD.",G,"4,439,486",#4439486,True,1984,Physics
256,"St. Louis, MO",MONSANTO COMPANY,B,"4,439,628",#4439628,True,1984,"Performing Operations, Transporting"
257,"El Segundo, CA",HUGHES AIRCRAFT CO.,G,"4,439,693",#4439693,True,1984,Physics
258,"Tokyo, JP","ASAHI GLASS COMPANY, LTD.",H,"4,439,771",#4439771,True,1984,Electricity
259,"Minneapolis, MN",CONTROL DATA CORPORATION,G,"4,439,830",#4439830,True,1984,Physics
262,"Hoboken, NJ",SIMPLEX CEILING CORP.,E,"4,439,973",#4439973,True,1984,Fixed Construction
263,"Dearborn, MI",FORD MOTOR COMPANY,G,"4,440,027",#4440027,True,1984,Physics
264,"San Francisco, CA",EGOLF; DANIEL LEE,A,"4,440,059",#4440059,True,1984,Human Necessities
265,"Sunnyvale, CA","LOCKHEED MISSILES & SPACE COMPANY, INC.",F,"4,440,216",#4440216,True,1984,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
266,"Florham Park, NJ",EXXON RESEARCH AND ENGINEERING CO.,C,"4,440,225",#4440225,True,1984,"Chemistry, Metallurgy"
268,"Grand Junction, CO","OCCIDENTAL OIL SHALE, INC.",E,"4,440,447",#4440447,True,1984,Fixed Construction
270,"Stamford, CT",AMERICAN CYANAMID COMPANY,C,"4,440,940",#4440940,True,1984,"Chemistry, Metallurgy"
271,"Tokyo, JP",CANON KABUSHIKI KAISHA,H,"4,441,000",#4441000,True,1984,Electricity
272,"Cincinnati, OH",GENERAL ELECTRIC COMPANY,B,"4,441,012",#4441012,True,1984,"Performing Operations, Transporting"
273,"Detroit, MI",GENERAL MOTORS CORPORATION,H,"4,441,086",#4441086,True,1984,Electricity
274,"Ottobrunn, DE",MITEC MODERNE INDUSTRIETECHNIK GMBH,G,"4,441,107",#4441107,True,1984,Physics
275,"Grand Cayman, KY",ARC TECHNOLOGIES SYSTEMS LTD.,H,"4,441,190",#4441190,True,1984,Electricity
276,"Tokyo, JP","HITACHI, LTD.",H,"4,441,192",#4441192,True,1984,Electricity
277,"Nagoya, JP","DAIDO METAL COMPANY, LTD.",B,"4,441,240",#4441240,True,1984,"Performing Operations, Transporting"
278,"Curacao, NL",HUNTER DOUGLAS INTERNATIONAL N.V. ROOI CATOOTJE,E,"4,441,282",#4441282,True,1984,Fixed Construction
279,"Tulsa, OK","BS&B SAFETY SYSTEMS, INC.",F,"4,441,350",#4441350,True,1984,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
280,"Upper Saddle River, NJ",KINETICS MEASUREMENT CORP.,G,"4,441,505",#4441505,True,1984,Physics
281,"Yokohama, JP","NISSAN MOTOR COMPANY, LIMITED",B,"4,441,575",#4441575,True,1984,"Performing Operations, Transporting"
283,DE,FICHTEL & SACHS AG,B,"4,441,593",#4441593,True,1984,"Performing Operations, Transporting"
284,"Nuremberg, DE",M.A.N. MASCHINENFABRIK AUGSBURG-NURNBERG AKTIENGESELLSCHAFT,F,"4,441,866",#4441866,True,1984,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
285,"Bonn, DE",VEREINIGTE ALUMINIUM-WERKE A.G.,C,"4,441,920",#4441920,True,1984,"Chemistry, Metallurgy"
286,"Boston, MA",CABOT CORPORATION,C,"4,441,927",#4441927,True,1984,"Chemistry, Metallurgy"
287,"Lestrem, FR",ROQUETTE FRERES,C,"4,441,937",#4441937,True,1984,"Chemistry, Metallurgy"
288,JP,TOKYO SHIBAURA DENKI KABUSHIKI KAISHA,H,"4,441,941",#4441941,True,1984,Electricity
289,"New York, NY",INTERNATIONAL PAPER COMPANY,D,"4,441,959",#4441959,True,1984,"Textiles, Paper"
290,"Cincinnati, OH",THE PROCTER & GAMBLE COMPANY,D,"4,441,962",#4441962,True,1984,"Textiles, Paper"
291,"New York, NY",U.S. PHILIPS CORPORATION,C,"4,441,964",#4441964,True,1984,"Chemistry, Metallurgy"
293,"Florham Park, NJ",EXXON RESEARCH AND ENGINEERING CO.,C,"4,442,011",#4442011,True,1984,"Chemistry, Metallurgy"
294,"Rahway, NJ","MERCK & CO., INC.",C,"4,442,103",#4442103,True,1984,"Chemistry, Metallurgy"
295,FR,LABORATOIRES SOBIO S.A. OF IMMEUBLE PERISUD,C,"4,442,108",#4442108,True,1984,"Chemistry, Metallurgy"
296,"Ingelheim am Rhein, DE",BOEHRINGER INGELHEIM KG,C,"4,442,120",#4442120,True,1984,"Chemistry, Metallurgy"
297,"Berlin & Munich, DE",SIEMENS AKTIENGESELLSCHAFT,H,"4,442,153",#4442153,True,1984,Electricity
298,"Tokyo, JP","SEKISUI PLASTIC CO., LTD.",C,"4,442,232",#4442232,True,1984,"Chemistry, Metallurgy"
300,"Bedford, MA",BAIRD CORPORATION,H,"4,442,349",#4442349,True,1984,Electricity
304,"New Britain, CT","LITTON INDUSTRIAL PRODUCTS, INC.",B,"4,442,739",#4442739,True,1984,"Performing Operations, Transporting"
306,"Modesto, CA",MACFARLANE; JOHN L.,B,"4,442,874",#4442874,True,1984,"Performing Operations, Transporting"
309,"Tokyo, JP","BRIDGESTONE CYCLE CO., LTD.",B,"4,443,023",#4443023,True,1984,"Performing Operations, Transporting"
310,"Nagano, JPKabushiki Kaisha Suwa Seikosha",EPSON CORPORATION,B,"4,443,125",#4443125,True,1984,"Performing Operations, Transporting"
312,"Tokyo, JP",TOSHIBA KIKAI KABUSHIKI KAISHA,B,"4,443,178",#4443178,True,1984,"Performing Operations, Transporting"
